TournamentID,StageID,StageSequence,StageURL
8045,23399,2,https://th.sportscorpion.com/eng/tournament/stage/23399/matches/?print
8022,23400,2,https://th.sportscorpion.com/eng/tournament/stage/23400/matches/?print
8038,23398,2,https://th.sportscorpion.com/eng/tournament/stage/23398/matches/?print
8031,23401,2,https://th.sportscorpion.com/eng/tournament/stage/23401/matches/?print
8031,23402,3,https://th.sportscorpion.com/eng/tournament/stage/23402/matches/?print
8031,23403,4,https://th.sportscorpion.com/eng/tournament/stage/23403/matches/?print
8031,23404,5,https://th.sportscorpion.com/eng/tournament/stage/23404/matches/?print
8031,23405,6,https://th.sportscorpion.com/eng/tournament/stage/23405/matches/?print
8031,23406,7,https://th.sportscorpion.com/eng/tournament/stage/23406/matches/?print
8031,23407,8,https://th.sportscorpion.com/eng/tournament/stage/23407/matches/?print
8042,23379,1,https://th.sportscorpion.com/eng/tournament/stage/23379/matches/?print
8042,23382,2,https://th.sportscorpion.com/eng/tournament/stage/23382/matches/?print
8042,23383,2,https://th.sportscorpion.com/eng/tournament/stage/23383/matches/?print
8042,23384,2,https://th.sportscorpion.com/eng/tournament/stage/23384/matches/?print
8042,23388,2,https://th.sportscorpion.com/eng/tournament/stage/23388/matches/?print
8030,23381,1,https://th.sportscorpion.com/eng/tournament/stage/23381/matches/?print
8030,23390,2,https://th.sportscorpion.com/eng/tournament/stage/23390/matches/?print
8030,23391,3,https://th.sportscorpion.com/eng/tournament/stage/23391/matches/?print
8030,23392,4,https://th.sportscorpion.com/eng/tournament/stage/23392/matches/?print
8030,23393,5,https://th.sportscorpion.com/eng/tournament/stage/23393/matches/?print
8030,23394,6,https://th.sportscorpion.com/eng/tournament/stage/23394/matches/?print
8030,23395,7,https://th.sportscorpion.com/eng/tournament/stage/23395/matches/?print
8041,23378,2,https://th.sportscorpion.com/eng/tournament/stage/23378/matches/?print
8043,23396,2,https://th.sportscorpion.com/eng/tournament/stage/23396/matches/?print
8023,23389,2,https://th.sportscorpion.com/eng/tournament/stage/23389/matches/?print
8037,23373,2,https://th.sportscorpion.com/eng/tournament/stage/23373/matches/?print
8037,23374,3,https://th.sportscorpion.com/eng/tournament/stage/23374/matches/?print
8037,23375,4,https://th.sportscorpion.com/eng/tournament/stage/23375/matches/?print
8037,23376,5,https://th.sportscorpion.com/eng/tournament/stage/23376/matches/?print
8034,23372,2,https://th.sportscorpion.com/eng/tournament/stage/23372/matches/?print
7939,23363,2,https://th.sportscorpion.com/eng/tournament/stage/23363/matches/?print
7939,23366,3,https://th.sportscorpion.com/eng/tournament/stage/23366/matches/?print
7939,23367,4,https://th.sportscorpion.com/eng/tournament/stage/23367/matches/?print
7992,23364,2,https://th.sportscorpion.com/eng/tournament/stage/23364/matches/?print
7992,23365,3,https://th.sportscorpion.com/eng/tournament/stage/23365/matches/?print
7992,23368,4,https://th.sportscorpion.com/eng/tournament/stage/23368/matches/?print
7992,23369,5,https://th.sportscorpion.com/eng/tournament/stage/23369/matches/?print
8032,23370,2,https://th.sportscorpion.com/eng/tournament/stage/23370/matches/?print
7999,23357,2,https://th.sportscorpion.com/eng/tournament/stage/23357/matches/?print
7999,23358,3,https://th.sportscorpion.com/eng/tournament/stage/23358/matches/?print
7999,23359,4,https://th.sportscorpion.com/eng/tournament/stage/23359/matches/?print
7999,23360,5,https://th.sportscorpion.com/eng/tournament/stage/23360/matches/?print
7999,23361,6,https://th.sportscorpion.com/eng/tournament/stage/23361/matches/?print
8005,23356,2,https://th.sportscorpion.com/eng/tournament/stage/23356/matches/?print
8007,23344,2,https://th.sportscorpion.com/eng/tournament/stage/23344/matches/?print
8021,23345,2,https://th.sportscorpion.com/eng/tournament/stage/23345/matches/?print
8008,23335,2,https://th.sportscorpion.com/eng/tournament/stage/23335/matches/?print
8008,23338,3,https://th.sportscorpion.com/eng/tournament/stage/23338/matches/?print
8008,23339,4,https://th.sportscorpion.com/eng/tournament/stage/23339/matches/?print
8008,23340,5,https://th.sportscorpion.com/eng/tournament/stage/23340/matches/?print
8008,23341,6,https://th.sportscorpion.com/eng/tournament/stage/23341/matches/?print
8008,23342,7,https://th.sportscorpion.com/eng/tournament/stage/23342/matches/?print
8008,23343,8,https://th.sportscorpion.com/eng/tournament/stage/23343/matches/?print
8019,23334,2,https://th.sportscorpion.com/eng/tournament/stage/23334/matches/?print
8019,23336,3,https://th.sportscorpion.com/eng/tournament/stage/23336/matches/?print
8019,23337,4,https://th.sportscorpion.com/eng/tournament/stage/23337/matches/?print
8006,23330,2,https://th.sportscorpion.com/eng/tournament/stage/23330/matches/?print
8015,23327,1,https://th.sportscorpion.com/eng/tournament/stage/23327/matches/?print
8016,23329,2,https://th.sportscorpion.com/eng/tournament/stage/23329/matches/?print
8016,23331,3,https://th.sportscorpion.com/eng/tournament/stage/23331/matches/?print
8016,23332,3,https://th.sportscorpion.com/eng/tournament/stage/23332/matches/?print
8016,23333,3,https://th.sportscorpion.com/eng/tournament/stage/23333/matches/?print
8003,23321,2,https://th.sportscorpion.com/eng/tournament/stage/23321/matches/?print
8003,23323,3,https://th.sportscorpion.com/eng/tournament/stage/23323/matches/?print
8003,23324,4,https://th.sportscorpion.com/eng/tournament/stage/23324/matches/?print
8009,23320,2,https://th.sportscorpion.com/eng/tournament/stage/23320/matches/?print
7980,23224,2,https://th.sportscorpion.com/eng/tournament/stage/23224/matches/?print
8014,23322,2,https://th.sportscorpion.com/eng/tournament/stage/23322/matches/?print
8014,23325,3,https://th.sportscorpion.com/eng/tournament/stage/23325/matches/?print
8014,23326,4,https://th.sportscorpion.com/eng/tournament/stage/23326/matches/?print
7979,23223,1,https://th.sportscorpion.com/eng/tournament/stage/23223/matches/?print
7979,23318,2,https://th.sportscorpion.com/eng/tournament/stage/23318/matches/?print
7979,23317,2,https://th.sportscorpion.com/eng/tournament/stage/23317/matches/?print
7978,23221,2,https://th.sportscorpion.com/eng/tournament/stage/23221/matches/?print
7978,23222,3,https://th.sportscorpion.com/eng/tournament/stage/23222/matches/?print
7997,23319,1,https://th.sportscorpion.com/eng/tournament/stage/23319/matches/?print
7839,23271,1,https://th.sportscorpion.com/eng/tournament/stage/23271/matches/?print
7839,23272,2,https://th.sportscorpion.com/eng/tournament/stage/23272/matches/?print
7839,23273,3,https://th.sportscorpion.com/eng/tournament/stage/23273/matches/?print
7839,23274,4,https://th.sportscorpion.com/eng/tournament/stage/23274/matches/?print
7839,23275,5,https://th.sportscorpion.com/eng/tournament/stage/23275/matches/?print
7976,23213,1,https://th.sportscorpion.com/eng/tournament/stage/23213/matches/?print
7976,23214,2,https://th.sportscorpion.com/eng/tournament/stage/23214/matches/?print
7976,23215,3,https://th.sportscorpion.com/eng/tournament/stage/23215/matches/?print
7976,23310,3,https://th.sportscorpion.com/eng/tournament/stage/23310/matches/?print
7976,23216,4,https://th.sportscorpion.com/eng/tournament/stage/23216/matches/?print
7976,23217,4,https://th.sportscorpion.com/eng/tournament/stage/23217/matches/?print
7976,23218,4,https://th.sportscorpion.com/eng/tournament/stage/23218/matches/?print
7916,23302,1,https://th.sportscorpion.com/eng/tournament/stage/23302/matches/?print
7916,23303,2,https://th.sportscorpion.com/eng/tournament/stage/23303/matches/?print
7916,23306,3,https://th.sportscorpion.com/eng/tournament/stage/23306/matches/?print
7916,23307,4,https://th.sportscorpion.com/eng/tournament/stage/23307/matches/?print
7916,23308,5,https://th.sportscorpion.com/eng/tournament/stage/23308/matches/?print
7916,23309,6,https://th.sportscorpion.com/eng/tournament/stage/23309/matches/?print
7916,23311,7,https://th.sportscorpion.com/eng/tournament/stage/23311/matches/?print
7916,23312,8,https://th.sportscorpion.com/eng/tournament/stage/23312/matches/?print
7916,23313,9,https://th.sportscorpion.com/eng/tournament/stage/23313/matches/?print
7916,23314,10,https://th.sportscorpion.com/eng/tournament/stage/23314/matches/?print
7975,23211,1,https://th.sportscorpion.com/eng/tournament/stage/23211/matches/?print
7975,23304,2,https://th.sportscorpion.com/eng/tournament/stage/23304/matches/?print
7975,23299,2,https://th.sportscorpion.com/eng/tournament/stage/23299/matches/?print
7975,23212,2,https://th.sportscorpion.com/eng/tournament/stage/23212/matches/?print
7977,23219,2,https://th.sportscorpion.com/eng/tournament/stage/23219/matches/?print
7977,23220,3,https://th.sportscorpion.com/eng/tournament/stage/23220/matches/?print
7985,23300,2,https://th.sportscorpion.com/eng/tournament/stage/23300/matches/?print
7995,23281,1,https://th.sportscorpion.com/eng/tournament/stage/23281/matches/?print
7995,23283,2,https://th.sportscorpion.com/eng/tournament/stage/23283/matches/?print
7986,23295,2,https://th.sportscorpion.com/eng/tournament/stage/23295/matches/?print
7988,23287,1,https://th.sportscorpion.com/eng/tournament/stage/23287/matches/?print
7988,23296,2,https://th.sportscorpion.com/eng/tournament/stage/23296/matches/?print
7988,23297,3,https://th.sportscorpion.com/eng/tournament/stage/23297/matches/?print
7988,23298,4,https://th.sportscorpion.com/eng/tournament/stage/23298/matches/?print
7996,23276,2,https://th.sportscorpion.com/eng/tournament/stage/23276/matches/?print
7996,23277,3,https://th.sportscorpion.com/eng/tournament/stage/23277/matches/?print
7996,23278,4,https://th.sportscorpion.com/eng/tournament/stage/23278/matches/?print
8002,23286,1,https://th.sportscorpion.com/eng/tournament/stage/23286/matches/?print
8002,23291,2,https://th.sportscorpion.com/eng/tournament/stage/23291/matches/?print
8002,23292,2,https://th.sportscorpion.com/eng/tournament/stage/23292/matches/?print
8002,23293,2,https://th.sportscorpion.com/eng/tournament/stage/23293/matches/?print
8002,23294,2,https://th.sportscorpion.com/eng/tournament/stage/23294/matches/?print
8002,23290,2,https://th.sportscorpion.com/eng/tournament/stage/23290/matches/?print
8040,23377,2,https://th.sportscorpion.com/eng/tournament/stage/23377/matches/?print
7845,23258,2,https://th.sportscorpion.com/eng/tournament/stage/23258/matches/?print
7845,23260,3,https://th.sportscorpion.com/eng/tournament/stage/23260/matches/?print
